"Calcium Indicator","Opsin","Filename","FrameRate","Stimulation Description","Comments","Group","ForRoi","ROI File","# spots","radius","P imaging","P stim (mW/um2)","DH_GUI folder","Reference BCs image","phase masks folder","Cell Types"
"Gcamp6s","CoChR","FOV_001","","","HD RGCs zoom 3","","","","","","2.45","","","","",""
"","","FOV_002","","","hd of square 1","","","","","","2.45","","","","",""
"","","FOV_003","","","hd of bipolar cells zoom 3","","","","","","2.45","","","","",""
"","","FOV_004","7.8","Euler Full Field Photoreceptors Stimulation","square 1","1","yes","","","","2.38","","","","",""
"","","FOV_005","7.8","Moving Bars in eight directions around the center of the FOV","square 1","2","yes","","","","2.38","","","","",""
"","","FOV_006","","","hd of the square 2","","","","","","2.45","","","","",""
"","","FOV_007","7.8","Euler Full Field Photoreceptors Stimulation","square 2","1","yes","","","","2.37","","","","",""
"","","FOV_008","7.8","Moving Bars in eight directions around the center of the FOV","square 2","2","yes","","","","2.37","","","","",""
"","","FOV_009","","","hd of the square 3","","","","","","2.45","","","","",""
"","","FOV_010","7.8","Euler Full Field Photoreceptors Stimulation","square 3","1","yes","","","","2.37","","","","",""
"","","FOV_011","7.8","Moving Bars in eight directions around the center of the FOV","square 3","2","yes","","","","2.37","","","","",""
"","","FOV_012","","","hd of square 4","","","","","","2.45","","","","",""
"","","FOV_013","7.8","Euler Full Field Photoreceptors Stimulation","square 4","1","yes","","","","2.37","","","","",""
"","","FOV_014","7.8","Moving Bars in eight directions around the center of the FOV","square 4","2","yes","","","","2.37","","","","",""
"","","FOV_015","","","hd RGCs zoom 3","","","","","","2.45","","","","",""
"","","FOV_016","","","hd bipolar cells zoom 3","","","","","","","","","","",""
"","","FOV_017","","","hd bipolar cells zoom 2","","","","","","","","","","",""
"","","FOV_018","","","Stack","","","","","","2.45","","","","",""
"","","block_0","7.8","Euler Full Field Photoreceptors Stimulation","Entire FOV rebuilt from the 4 squares","","","block_roi.mat","","","","","","","",""
"","","PHARMACOLOGY APPLICATION FOR 30 MIN","","","","","","","","","","","","","",""
"","","FOV_019","7.8","Euler Full Field Photoreceptors Stimulation","Central FOV","","","","","","2.45","","","","",""
"","","FOV_020","","","hd bipolar cells zoom 3","","","","","","","","","","",""
"","","FOV_021","","","hd bipolar cells zoom 3","","","","","","","","","","",""
"","","FOV_022","","","hd bipolar cells zoom 2","","","","","","","","","","",""
"","","FOV_023","5.92","holographic stimulation","holo stim 1 (BUT IN Z=0)","","","","4","20","2.5","0.1","","","",""
"","","FOV_024","","","hd bipolar cells","","","","","","","","","","",""
"","","FOV_025","","","hd RGCs","","","","","","","","","","",""
"","","FOV_026","5.92","holographic stimulation","holo stim 1 (BUT IN Z=0)","","","","4","20","2.5","0.1","","","",""
"","","FOV_027","5.92","holographic stimulation","holo stim 1","","","","4","20","2.5","0.1","DH_GUI/holo1","DH_GUI/holo1/Composite.jpg","PhaseMasks/holo1",""
"","","FOV_028","","","HD RGCs","","","","","","","","","","",""
"","","FOV_029","5.92","holographic stimulation","holo stim 1","","","","4","20","2.5","0.1","DH_GUI/holo1","DH_GUI/holo1/Composite.jpg","PhaseMasks/holo1",""
"","","FOV_030","","","HD rgcs","","","","","","","","","","",""
"","","FOV_031","5.92","holographic stimulation","holo stim 1","","","","4","20","2.5","0.1","DH_GUI/holo1","DH_GUI/holo1/Composite.jpg","PhaseMasks/holo1",""
"","","FOV_032","","","HD RGCs","","","","","","","","","","",""
"","","FOV_033","5.92","holographic stimulation","holo stim 2","","","","4","25","2.5","0.1","DH_GUI/holo2","DH_GUI/holo2/Composite.jpg","PhaseMasks/holo2",""
"","","FOV_034","","","HD RGCs","","","","","","","","","","",""
"","","FOV_035","5.92","holographic stimulation","holo stim 2","","","","4","25","2.5","0.1","DH_GUI/holo2","DH_GUI/holo2/Composite.jpg","PhaseMasks/holo2",""
"","","FOV_036","","","HD RGCs","","","","","","","","","","",""
"","","FOV_037","5.92","holographic stimulation","holo stim 2","","","","4","25","2.5","0.1","DH_GUI/holo2","DH_GUI/holo2/Composite.jpg","PhaseMasks/holo2",""
"","","FOV_038","","","HD RGCs","","","","","","","","","","",""
"","","FOV_039","5.92","holographic stimulation","holo stim 3","","","","2","10","2.5","0.1","DH_GUI/holo3","DH_GUI/holo3/Composite.jpg","PhaseMasks/holo3",""
"","","FOV_040","","","HD RGCs","","","","","","","","","","",""
"","","FOV_041","5.92","holographic stimulation","holo stim 3","","","","2","10","2.5","0.1","DH_GUI/holo3","DH_GUI/holo3/Composite.jpg","PhaseMasks/holo3",""
"","","FOV_042","","","HD RGCs","","","","","","","","","","",""
"","","FOV_043","5.92","holographic stimulation","holo stim 3","","","","2","10","2.5","0.1","DH_GUI/holo3","DH_GUI/holo3/Composite.jpg","PhaseMasks/holo3",""
