Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,CoChR,FOV1_009,,,High Resolution Image of the Retinal Ganglion Cells,,
,,FOV1_010,,,High Resolution Image of the Bipolar cells Layer,,
,,FOV1_011,,,HD image of square 3,,
,,FOV1_012,"7,8",Euler Full Field Photoreceptors Stimulation,square 3,1,yes
,,FOV1_013,,,HD image of square 1,,
,,FOV1_014,"7,8",Euler Full Field Photoreceptors Stimulation,square 1,1,yes
,,FOV1_015,,,HD image of square 4,,
,,FOV1_016,"7,8",Euler Full Field Photoreceptors Stimulation,square 4,1,yes
,,FOV1_017,,,HD image of square 2,,
,,FOV1_018,"7,8",Euler Full Field Photoreceptors Stimulation,square 2,1,yes
,,FOV1_019,"7,8",Moving Bars in eight directions around the center of the FOV,square 2,,
,,FOV1_020,,,hd image of the Bipolar Cell Layer in the biggest zoom possible (300 x 300 um),,
We then applied for 30 around 30 minutes the pharmacology blocking the photoreceptors input to bipolar cells. The images from now on become very dark,,,,,,,
,,FOV1_021,,,hd image of RGCs layer ,,
,,FOV1_022,,,hd image of the Bipolar Cell Layer zoom 3,,
,,FOV1_023,,,hd image of the bipolar cells layer bigger zoom,,
,,FOV1_024,"7,8",Euler Full Field Photoreceptors Stimulation,Just one round of the complete stimulation and not 3 repetitions like in the previous recordings,,
,,FOV1_025,"5,92",Digital Holography stimulation,We stimulated different combinations of bipolar cells. So for each trace there are different bipolar cell stimulated.,,
,,FOV1_026,"5,92",Digital Holography stimulation,,,
,,FOV1_027,"5,92",Digital Holography stimulation,,,
,,FOV1_028,"5,92",Digital Holography stimulation,,,
,,FOV1_029,"5,92",Digital Holography stimulation,,,
,,FOV1_030,"5,92",Digital Holography stimulation,,,
,,FOV1_031,"5,92",Digital Holography stimulation,,,
,,FOV1_032,"5,92",Digital Holography stimulation,,,
,,FOV1_033,"5,92",Digital Holography stimulation,,,
,,FOV1_034,"5,92",Digital Holography stimulation,,,
,,FOV1_035,"2,96",Digital Holography stimulation,,,
,,FOV1_036,"2,96",Digital Holography stimulation,,,
,,FOV1_037,"2,96",Digital Holography stimulation,,,
,,FOV1_038,"2,96",Digital Holography stimulation,,,
,,FOV1_039,"2,96",Digital Holography stimulation,,,
,,FOV1_040,"2,96",Digital Holography stimulation,,,
,,FOV1_041,"2,96",Digital Holography stimulation,,,
